[2024-03-23 18:22:48,958] [32   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 18:22:49,002] [32   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 18:22:49,004] [32   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 18:32:48,944] [30   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 18:32:48,944] [30   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 18:32:48,944] [30   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 18:42:48,951] [21   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 18:42:48,951] [21   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 18:42:48,951] [21   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 18:52:48,972] [23   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 18:52:48,975] [23   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 18:52:48,975] [23   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 19:02:48,974] [25   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 19:02:48,974] [25   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 19:02:48,974] [25   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 19:12:49,005] [29   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 19:12:49,012] [29   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 19:12:49,015] [29   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 19:22:49,007] [27   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 19:22:49,009] [27   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 19:22:49,009] [27   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 19:32:49,024] [29   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 19:32:49,024] [29   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 19:32:49,024] [29   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 19:42:49,071] [25   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 19:42:49,106] [25   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 19:42:49,106] [25   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 19:52:49,088] [22   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 19:52:49,105] [22   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 19:52:49,107] [22   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 20:02:49,107] [28   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 20:02:49,109] [28   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 20:02:49,111] [28   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 20:12:49,125] [25   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 20:12:49,126] [25   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 20:12:49,127] [25   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 20:22:49,157] [25   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 20:22:49,158] [25   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 20:22:49,158] [25   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 20:32:49,181] [29   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 20:32:49,189] [29   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 20:32:49,194] [29   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 20:42:49,230] [27   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 20:42:49,235] [27   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 20:42:49,245] [27   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 20:52:49,250] [23   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 20:52:49,253] [23   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 20:52:49,255] [23   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 21:02:49,244] [8    ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 21:02:49,247] [8    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 21:02:49,250] [8    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 21:12:49,294] [32   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 21:12:49,296] [32   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 21:12:49,298] [32   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 21:22:49,304] [12   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 21:22:49,315] [12   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 21:22:49,317] [12   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 21:32:49,312] [16   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 21:32:49,314] [16   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 21:32:49,315] [16   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-03-23 21:42:49,356] [13   ] [INFO ] [] - Initializing the metrics collector
[2024-03-23 21:42:49,360] [13   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-03-23 21:42:49,362] [13   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
