[2024-01-07 23:18:29,954] [1    ] [INFO ] [] - ========== Box Local Com Server v4.24.0.1029 ==========
[2024-01-07 23:18:30,048] [1    ] [INFO ] [] - Running as a per-user installation
[2024-01-07 23:18:30,126] [1    ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:18:30,157] [1    ] [WARN ] [] - MetricsCollector::UpdateConfiguration(374): UpdateConfiguration raised: unable to open database file
[2024-01-07 23:18:30,157] [1    ] [ERROR] [] - MetricsCollector::Initialize(238): Raised: unable to open database file
[2024-01-07 23:18:30,157] [1    ] [ERROR] [] - Failed to initialized metrics collector - error: 6
[2024-01-07 23:18:30,157] [1    ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:18:30,157] [1    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-07 23:18:30,157] [1    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-07 23:18:30,188] [1    ] [INFO ] [] - LocalMachine RegistryKey not set
[2024-01-07 23:18:30,188] [1    ] [INFO ] [] - Starting server...
[2024-01-07 23:18:30,219] [1    ] [INFO ] [] - Server running. Listening to port 17223
[2024-01-07 23:18:30,219] [1    ] [INFO ] [] - Working with debug logging OFF
[2024-01-07 23:18:30,235] [6    ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:18:30,235] [6    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-07 23:18:30,235] [6    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-07 23:18:30,235] [6    ] [INFO ] [] - Recording metric - name: ComServerStart
[2024-01-07 23:18:35,197] [4    ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:18:35,197] [4    ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-07 23:18:35,197] [4    ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-07 23:28:35,208] [10   ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:28:35,208] [10   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-07 23:28:35,208] [10   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-07 23:38:35,220] [11   ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:38:35,220] [11   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-07 23:38:35,220] [11   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
[2024-01-07 23:48:35,220] [12   ] [INFO ] [] - Initializing the metrics collector
[2024-01-07 23:48:35,221] [12   ] [ERROR] [] - MetricsCollector::Initialize(171): Check Failed: !IsConfigured() - Return: MetricResult_InvalidState
[2024-01-07 23:48:35,222] [12   ] [ERROR] [] - Failed to initialized metrics collector - error: 2
